Team,Org,Blend Per 9,Wind Blowing Out Direction,Old Park Only,col_F,AAA
Rockies,COL,1.25,SW,1.2175,0.03249999999999997,Rockies
Blue Jays,TOR,1.02,NW,0.9106,0.10940000000000005,Blue Jays
White Sox,CHA,0.96,W,1.1717,-0.2117,White Sox
Guardians,CLE,0.96,NW,0.9366,0.023399999999999976,Guardians
Rays,TBA,0.9,W,1.0308,-0.13079999999999992,Rays
Padres,SDN,0.94,SW,1.1402,-0.20020000000000016,Padres
Braves,ATL,1.0,WNW,0.9181,0.08189999999999997,Braves
Pirates,PIT,1.0,SW,0.9412,0.05879999999999996,Pirates
Cubs,CHN,0.9,SW,1.175,-0.275,Cubs
Marlins,MIA,1.0,SW,0.9025,0.09750000000000003,Marlins
Athletics,OAK,1.19,SW,1.185,0.004999999999999893,Athletics
Phillies,PHI,1.04,SW,0.9562,0.08379999999999999,Phillies
Reds,CIN,1.06,S,0.9867,0.07330000000000003,Reds
Cardinals,SLN,0.96,WSW,0.9897,-0.02970000000000006,Cardinals
Brewers,MIL,0.94,NNW,0.9123,0.027699999999999947,Brewers
Orioles,BAL,1.08,NW,0.9728,0.10720000000000007,Orioles
Dodgers,LAN,1.04,SW,0.912,0.128,Dodgers
Royals,KCA,1.0,SW,1.1174,-0.11739999999999995,Royals
D-backs,ARI,1.1,SSW,1.2292,-0.12919999999999998,D-backs
Nationals,WAS,1.02,W,0.9877,0.032299999999999995,Nationals
Rangers,TEX,0.85,SW,0.883,-0.03300000000000003,Rangers
Giants,SFN,0.96,SW,0.737,0.22299999999999998,Giants
Angels,LAA,1.0,WNW,1.0283,-0.028299999999999992,Angels
Yankees,NYA,1.02,SW,1.024,-0.0040000000000000036,Yankees
Twins,MIN,1.08,W,1.1195,-0.03949999999999987,Twins
Astros,HOU,1.02,NW,0.74,0.28,Astros
Mets,NYN,0.98,S,1.0404,-0.06040000000000001,Mets
Mariners,SEA,0.85,SW,0.9277,-0.07769999999999999,Mariners
Tigers,DET,1.02,W,0.8647,0.1553,Tigers
Red Sox,BOS,1.04,SW,1.0422,-0.0021999999999999797,Red Sox
