Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,col_CL
Aaron Judge NYA,R,-0.007252623,-0.001334547,0.432350439,0.145903034,-0.052166147,0,9.68301945,0.096311591,0.214381555,0.212148202,0.09530825,0.425145356,0.989582344,
Vladimir Guerrero Jr. TOR,R,-0.008036364,-0.009335443,0.339666667,0.144212121,-0.084712121,0,9.682998834,0.076550156,0.194622745,0.192097501,0.075556912,0.39982011,0.987024929,
Ronald Acuna Jr. ATL,R,0.016103556,-0.024728105,0.323483264,0.149424686,-0.055734833,0,9.683018102,0.070357306,0.188429037,0.1804605,0.067381943,0.380578898,0.957710673,
Fernando Tatis Jr. SDN,R,0.01323304,0.023950188,0.251007664,0.144308828,-0.051382345,0,9.683009785,0.056527303,0.174593489,0.169790028,0.054972109,0.36974373,0.972487743,
Ketel Marte ARI,B,-0.001532847,-0.010637119,0.24836983,0.147396594,0.000549878,0,9.683011536,0.05476564,0.172837956,0.167396705,0.053041519,0.366121185,0.968518195,
Yordan Alvarez HOU,L,-0.007465717,-0.019961612,0.241402954,0.146334388,-0.098341245,0,9.682985423,0.053611074,0.171679597,0.173800008,0.054273224,0.381238218,1.012350979,
Junior Caminero TBA,R,0.002156522,-0.006736527,0.234289855,0.14257971,0.012455072,0,9.68299552,0.053400452,0.17147207,0.170767532,0.053181043,0.374778771,0.99589124,
Yandy Diaz TBA,R,-0.010992053,-0.014047867,0.23488849,0.147808254,-0.108426045,0,9.683012423,0.051651932,0.169719128,0.168032045,0.051138489,0.370431774,0.990059559,
Juan Soto NYN,L,-0.00327473,-0.047844828,0.223370839,0.146694796,-0.051361932,0,9.683012709,0.049485082,0.16755548,0.166910378,0.04929456,0.370029848,0.996149917,
Bobby Witt Jr. KCA,R,0.022464264,0.042666252,0.213704164,0.147203232,0.050006215,0,9.683008358,0.047186534,0.165259222,0.161596678,0.046140766,0.360438755,0.977837581,
Julio Rodriguez SEA,R,0.012245333,0.039541779,0.20776,0.144533333,0.015304,0,9.683027863,0.046715649,0.164784941,0.159775767,0.045295575,0.356834777,0.969601755,
Brent Rooker OAK,R,0.000765166,-0.017604356,0.194187275,0.142020714,-0.108957937,0,9.682982264,0.04444184,0.162509978,0.157818933,0.043158973,0.35465321,0.971133805,
Seiya Suzuki CHN,R,-0.000528523,-0.021995784,0.193512304,0.141834452,-0.063638143,0,9.682976836,0.044342503,0.16241403,0.161251507,0.04402511,0.362463861,0.992842225,
Ivan Herrera SLN,R,0.006869188,-0.038339223,0.194978301,0.144606324,-0.085623063,0.000632653,9.682961549,0.04381851,0.161891629,0.162430669,0.043964409,0.365638402,1.003329634,
William Contreras MIL,R,-0.009221942,-0.012987013,0.193534845,0.143912678,0.051665267,0.00366113,9.683004495,0.043703892,0.161777084,0.160473339,0.043351687,0.361346289,0.991941103,
Wyatt Langford TEX,R,0.010453608,0.000834575,0.186715758,0.144418262,-0.023911635,0,9.682997827,0.042016278,0.160084738,0.154698825,0.040602677,0.350000566,0.966355867,
Mookie Betts LAN,R,0.000757576,-0.013557994,0.177638454,0.145559039,0.05,0,9.682966387,0.039665391,0.157734095,0.156565945,0.039371637,0.356605342,0.992594184,
Byron Buxton MIN,R,0.023282137,-0.011591356,0.179599332,0.14851419,-0.00333222,0,9.683015812,0.039300638,0.157370599,0.153139881,0.038244088,0.349162856,0.973116215,
