Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,wWOBA Change
Aaron Judge NYA,R,-0.00402382,-0.001349917,0.368708351,0.145916631,-0.052174252,0,9.682997513,0.082122858,0.200191243,0.198580409,0.081462058,0.408680883,0.991953521,-0.003315117
Juan Soto NYN,L,0.00420391,-0.047800608,0.347583751,0.146704455,-0.05136182,0,9.682996723,0.077001312,0.195071814,0.194768178,0.076881457,0.405004615,0.998443469,-0.000631385
Yordan Alvarez HOU,L,-0.005697703,-0.019982159,0.316831521,0.146333688,-0.098335649,0,9.682990558,0.070366614,0.188436484,0.190694306,0.071209738,0.402156536,1.011981872,0.004761536
Shohei Ohtani LAN,L,0.020396429,0,0.305679342,0.150354959,-0.11666901,0,9.683004946,0.066075036,0.184145287,0.180470867,0.06475658,0.384242746,0.980046079,-0.007823254
Vladimir Guerrero Jr. TOR,R,-0.006153042,-0.00931027,0.278967175,0.144198202,-0.084705554,0,9.682997929,0.062875549,0.180945679,0.17861327,0.062065076,0.383089453,0.987109894,-0.005002547
Ronald Acuna Jr. ATL,R,0.025562279,-0.024743265,0.276441392,0.149422083,-0.055734294,0,9.683005587,0.060127001,0.178196798,0.17185561,0.057987363,0.370989115,0.964414692,-0.013688885
Nick Kurtz OAK,L,0.006940539,-0.006909658,0.235603345,0.147311828,-0.08522838,0,9.683009069,0.051979047,0.170047072,0.168964782,0.051648218,0.372173074,0.993635345,-0.002383926
Fernando Tatis Jr. SDN,R,0.02248103,0.02398059,0.2137043,0.14433203,-0.051388059,0,9.683003434,0.048122294,0.166191229,0.161953285,0.046895156,0.36033779,0.97449959,-0.00942921
Ketel Marte ARI,B,0.000815988,-0.010634648,0.210098039,0.147375566,0.000549774,0,9.683007366,0.046333459,0.164403199,0.161176249,0.045424013,0.360332687,0.980371727,-0.007214313
Kyle Tucker LAN,L,0.017346857,-0.014255933,0.208025978,0.146520205,-0.049998396,0,9.683001388,0.046144254,0.164214497,0.159911214,0.044935032,0.357686495,0.973794744,-0.009625505
Bryce Harper PHI,L,0.003934959,0.005411321,0.197575758,0.143732446,-0.084033259,0,9.68299506,0.044675126,0.162745341,0.162354392,0.044567807,0.364609024,0.997597791,-0.000877976
Corbin Carroll ARI,L,0.050333752,0.018156981,0.189189987,0.145130326,-0.04851953,0,9.683003294,0.042367011,0.160436405,0.156492739,0.041325593,0.35370551,0.975419131,-0.00891349
Junior Caminero TBA,R,0.004374212,-0.006746549,0.183357149,0.142590569,0.012456081,0,9.683004678,0.041793204,0.159861782,0.159149235,0.04160692,0.360293882,0.995542728,-0.001613118
Bobby Witt Jr. KCA,R,0.034973201,0.042671336,0.186400343,0.147173587,0.05,0,9.683005821,0.041162755,0.159233247,0.155589466,0.040220815,0.352861271,0.977116708,-0.008263729
Julio Rodriguez SEA,R,0.021708792,0.03952135,0.180406135,0.14455966,0.015306402,0,9.683006235,0.040559509,0.1586294,0.154216069,0.039431076,0.350348774,0.972178353,-0.010026226
Corey Seager TEX,L,-0.007072138,-0.020160757,0.178168467,0.144682505,0.035596544,0,9.683001171,0.040023235,0.158092071,0.153343426,0.038821049,0.348904346,0.969962792,-0.010804654
Kyle Schwarber PHI,L,-0.005568815,-0.060278746,0.17749331,0.147226441,-0.115307731,0,9.682987759,0.039181121,0.157249729,0.156209801,0.038922007,0.356290087,0.993386774,-0.002371913
Gunnar Henderson BAL,L,0.031657754,-0.011428767,0.17440011,0.148292884,0.050001371,0,9.682993888,0.03822187,0.156292257,0.151455543,0.037039033,0.346409456,0.969053397,-0.011062544
Yandy Diaz TBA,R,-0.009971751,-0.014027694,0.171625037,0.14779215,-0.10842477,0,9.683005964,0.037741085,0.155811326,0.154996549,0.037543728,0.35500881,0.994770746,-0.00186619
Freddie Freeman LAN,L,-0.000290755,-0.00473519,0.158990286,0.141406198,-0.083694575,0,9.683010462,0.036542446,0.154611303,0.155050599,0.036646274,0.356394752,1.00284129,0.001009752
James Wood WAS,L,0.01185292,-0.014928124,0.163932949,0.146710526,-0.084057318,0,9.683012018,0.036315642,0.154384401,0.155373006,0.03654819,0.357376913,1.006403531,0.002273913
Matt Olson ATL,L,-0.006833987,0.011649303,0.159964822,0.143194426,-0.083335137,0,9.68299899,0.03630622,0.154375901,0.156634332,0.036837359,0.360287807,1.014629427,0.005194807
Cal Raleigh SEA,B,-0.002390453,0.008697972,0.157095183,0.144921648,0.04650827,0.090980445,9.682993213,0.035229961,0.1532993,0.148817135,0.034199907,0.343412882,0.970762,-0.010343118
Ivan Herrera SLN,R,0.010658936,-0.038425926,0.150134844,0.144615246,-0.085622977,0.000642857,9.683001833,0.033740183,0.15180961,0.152270574,0.033842634,0.352974549,1.003036461,0.001068549
William Contreras MIL,R,-0.006643748,-0.012977099,0.147079713,0.143906309,0.051659237,0.003659785,9.682997022,0.033217613,0.15128638,0.150664018,0.033080962,0.349811004,0.995886203,-0.001444996
Pete Alonso BAL,R,-0.009726888,-0.022982237,0.145630206,0.142571351,-0.087458692,0,9.683001269,0.033198409,0.151267634,0.148968015,0.032693716,0.345892459,0.984797681,-0.005339541
Jose Ramirez CLE,B,0.027313356,-0.002625414,0.146018023,0.143790754,0.004295553,0,9.682995298,0.033003229,0.151071331,0.15043698,0.032864648,0.349515191,0.995800982,-0.001473809
Rafael Devers SFN,L,-0.006161042,0.021508769,0.147031733,0.146081888,-0.090814564,0,9.683009798,0.032712324,0.150782793,0.144888648,0.031433589,0.336922806,0.960909697,-0.013706194
Mookie Betts LAN,R,0.004097727,-0.013545455,0.141568182,0.14555303,0.049999242,0,9.683000551,0.031611159,0.14968062,0.148982463,0.031463714,0.347631938,0.995335689,-0.001629062
Brent Rooker OAK,R,0.002696177,-0.01769802,0.133795631,0.141994826,-0.108947255,0,9.683008897,0.030623412,0.148694356,0.145067923,0.029876553,0.339546945,0.97561149,-0.008488055
Wyatt Langford TEX,R,0.018713115,0.000836484,0.134924044,0.144444444,-0.023913147,0,9.683004372,0.030359097,0.148427424,0.144397154,0.029534753,0.338263717,0.972846859,-0.009441283
Isaac Paredes HOU,R,-0.002600561,-0.005590659,0.130570627,0.14354537,-0.045369504,0,9.683004202,0.029562533,0.14763264,0.145929116,0.029221413,0.342715266,0.988461063,-0.004000734
Vinnie Pasquantino KCA,L,-0.008894923,-0.002946306,0.129295553,0.143266431,-0.088093664,0,9.682982907,0.029331075,0.147399945,0.142628138,0.028381534,0.335213986,0.967626804,-0.011215014
Roman Anthony BOS,L,0.01251938,0.000768066,0.132981792,0.14972057,-0.061111412,0,9.682998962,0.028866364,0.146936112,0.142520485,0.027998891,0.335459654,0.96994866,-0.010393346
Michael Busch CHN,L,-0.002394196,0.005782669,0.128761444,0.14528416,-0.083719122,0,9.683003117,0.028803855,0.146872999,0.142712409,0.027987905,0.335979952,0.971672191,-0.009795048
Ben Rice NYA,L,0.001453753,0.000576336,0.123889044,0.140105761,-0.065509788,-0.013389611,9.682984042,0.028739031,0.146809232,0.150186475,0.029400152,0.35364747,1.023004296,0.00795247
Francisco Lindor NYN,B,0.018057139,0.011638567,0.129800167,0.150155763,0.046295874,0,9.683007878,0.028094854,0.146164619,0.1444298,0.027761398,0.340800472,0.988131055,-0.004093528
George Springer TOR,R,0.009348685,-0.015848147,0.127282212,0.147395484,-0.100195991,0,9.68298569,0.028065232,0.146134744,0.143313172,0.027523348,0.338198495,0.980691982,-0.006658505
