Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,col_CL
Juan Soto NYN,L,0.008734071,-0.047780763,0.404139021,0.146708794,-0.051362823,0,9.683004504,0.089529328,0.207599877,0.207803476,0.089617132,0.421609079,1.000980729,
Shohei Ohtani LAN,L,0.025830491,0,0.368258398,0.150346253,-0.116661499,0,9.683005091,0.079607266,0.197676444,0.192764295,0.07762907,0.398712734,0.975150558,
Yordan Alvarez HOU,L,-0.004705604,-0.019991383,0.350953678,0.146333373,-0.098333136,0,9.682992571,0.07794709,0.196014934,0.198477653,0.078926412,0.411920123,1.012563938,
Aaron Judge NYA,R,-0.003100189,-0.001344793,0.347060491,0.145907372,-0.052172023,0,9.68299448,0.077304857,0.195374822,0.193777097,0.076672678,0.402691739,0.991822259,
Nick Kurtz OAK,L,0.007864787,-0.006913119,0.289160267,0.147312099,-0.085229762,0,9.682983325,0.063793785,0.181862838,0.182201227,0.063912485,0.389955236,1.001860684,
Vladimir Guerrero Jr. TOR,R,-0.005559377,-0.009312429,0.260825489,0.144207096,-0.08471126,0,9.682992577,0.058782766,0.176852162,0.174537602,0.058013444,0.377995367,0.986912459,
Ronald Acuna Jr. ATL,R,0.029131753,-0.024738536,0.259380742,0.149421169,-0.055734105,0,9.683003151,0.056416663,0.174485781,0.168555252,0.054499139,0.367151951,0.966011395,
Bryce Harper PHI,L,0.00606087,0.005416204,0.239543478,0.14373913,-0.084036957,0,9.683007184,0.054162363,0.172231791,0.171982982,0.054084119,0.376723991,0.998555384,
Kyle Tucker LAN,L,0.022746529,-0.014253231,0.239241264,0.146517472,-0.05,0,9.683008013,0.053066894,0.171135491,0.166577991,0.051653672,0.365897213,0.97336905,
Corey Seager TEX,L,-0.006363075,-0.0201675,0.22795261,0.144674812,0.035594224,0,9.68301538,0.051209757,0.169279702,0.165007461,0.049917338,0.364174097,0.97476224,
Corbin Carroll ARI,L,0.056957235,0.018151984,0.227453595,0.145133832,-0.048519126,0,9.682994486,0.050935932,0.169005603,0.16478189,0.049662964,0.363933603,0.975008447,
Gunnar Henderson BAL,L,0.035899699,-0.011429376,0.22440834,0.148290759,0.05,0,9.682999735,0.049182787,0.167252352,0.161862541,0.047597842,0.359127525,0.967774384,
Kyle Schwarber PHI,L,-0.004162349,-0.063043478,0.219905009,0.147236615,-0.115308722,0,9.683018774,0.048542906,0.166611872,0.166311822,0.048455485,0.369622151,0.998199112,
Rafael Devers SFN,L,-0.005699471,0.021500682,0.21768254,0.146074074,-0.090814815,0,9.682988854,0.048431259,0.166499373,0.159880787,0.046506047,0.355436972,0.96024858,
Fernando Tatis Jr. SDN,R,0.026186476,0.023991849,0.199412012,0.144330113,-0.051389122,0,9.683006818,0.044902471,0.162972423,0.159059245,0.043824305,0.356987391,0.975988711,
Freddie Freeman LAN,L,0.001111417,-0.004742019,0.195337739,0.141400514,-0.083692181,0,9.682992805,0.044897561,0.162967768,0.163347439,0.04500216,0.36661513,1.002329733,
Matt Olson ATL,L,-0.006708635,0.01165085,0.196551724,0.143202105,-0.083335526,0,9.682984421,0.044609953,0.162678441,0.165717775,0.045443405,0.37223189,1.018683078,
Ketel Marte ARI,B,0.00213138,-0.010635651,0.194622363,0.147382228,0.000549787,0,9.683001862,0.042918692,0.160987276,0.158690438,0.042306362,0.358121655,0.9857328,
James Wood WAS,L,0.015321231,-0.014932842,0.192429509,0.146710442,-0.084059482,0,9.6830001,0.042627313,0.160698069,0.162050368,0.042986029,0.365998229,1.008415152,
Bobby Witt Jr. KCA,R,0.039167517,0.042663573,0.177930394,0.147174014,0.049998144,0,9.683006024,0.03929376,0.157363596,0.153774828,0.038397643,0.350619312,0.977194419,
Riley Greene DET,L,0.005057437,0.011535976,0.168863362,0.141082225,-0.052867795,0,9.683004554,0.03889922,0.156968728,0.155940513,0.038644413,0.355965891,0.993449557,
Julio Rodriguez SEA,R,0.025601697,0.039509863,0.170674689,0.144555139,0.01530578,0,9.683010067,0.038373507,0.156441402,0.152215759,0.037337,0.347998263,0.972988973,
Vinnie Pasquantino KCA,L,-0.008636081,-0.002948284,0.167709196,0.143268434,-0.088091342,0,9.682995879,0.038046111,0.156114981,0.151869808,0.037011538,0.347538361,0.972807397,
Roman Anthony BOS,L,0.014354044,0.00076468,0.171686095,0.149717582,-0.06110804,0,9.683004921,0.037270148,0.155339244,0.150582751,0.036128935,0.345380388,0.969379966,
Junior Caminero TBA,R,0.005382976,-0.006750642,0.163418965,0.142583166,0.01245531,0,9.682987792,0.037249201,0.155319236,0.154544479,0.037063396,0.354485902,0.995011837,
Michael Busch CHN,L,-0.001895927,0.005783341,0.160961826,0.145286842,-0.083721476,0,9.68300858,0.03600637,0.154077207,0.150050718,0.035065418,0.345451101,0.97386707,
Josh Naylor SEA,L,0.003346758,0.011058224,0.153335399,0.139673689,-0.085577241,0,9.683018676,0.035678603,0.153750296,0.15078143,0.034989661,0.347472317,0.98069034,
Ben Rice NYA,L,0.00216747,0.000572687,0.152710843,0.140096386,-0.065508434,-0.013386555,9.682988175,0.035425664,0.153494439,0.156868965,0.036204485,0.36177951,1.021984678,
Cal Raleigh SEA,B,-0.000873529,0.008689904,0.156784314,0.144931373,0.046508824,0.090979567,9.682994088,0.035159694,0.153230045,0.149346233,0.034268527,0.344703832,0.97465372,
Jackson Merrill SDN,L,0.016329363,0.027134625,0.147011911,0.141926463,0.015184878,0,9.682996859,0.033664682,0.151732986,0.145561909,0.032295518,0.337502623,0.959329364,
Tyler Soderstrom OAK,L,0.002558726,0.00446889,0.144425347,0.141377335,-0.052777587,0,9.683016127,0.033201306,0.15127088,0.14959712,0.032833945,0.347348707,0.988935348,
Nolan Schanuel LAA,L,-0.002055344,-0.004552176,0.148880439,0.1460921,-0.083336502,0,9.683004319,0.033121864,0.151191345,0.149305703,0.032708771,0.346757659,0.987528113,
Alec Burleson SLN,L,-0.001374001,0.002463054,0.142404501,0.142305794,-0.081007798,0,9.683022237,0.032523298,0.150591866,0.15226039,0.032883649,0.354276287,1.011079776,
Yandy Diaz TBA,R,-0.009508952,-0.014019483,0.146508219,0.147796042,-0.108423202,0,9.683023687,0.032218059,0.15028724,0.149851866,0.032124725,0.349001027,0.997103058,
Jonathan Aranda TBA,L,-0.008450641,0.007434996,0.13935304,0.142097044,-0.090229782,0,9.683020679,0.031872045,0.149941221,0.149132711,0.031700185,0.34769898,0.99460782,
Pete Alonso BAL,R,-0.009298009,-0.022999232,0.138176748,0.142561785,-0.087455525,0,9.682985535,0.03150032,0.149570071,0.147705353,0.0311076,0.344771406,0.987532814,
Jose Ramirez CLE,B,0.03343721,-0.002627687,0.139221959,0.14379321,0.004295738,0,9.683014939,0.031467854,0.149537611,0.148989284,0.031352467,0.347803972,0.996333181,
Brendan Donovan SEA,L,0.005030532,-0.008626624,0.139802376,0.147485289,0.011666482,0,9.68300702,0.030807598,0.148878111,0.149199748,0.030874155,0.349016391,1.002160404,
Drake Baldwin ATL,L,0.001282906,-0.03693352,0.135463846,0.143177377,-0.001587539,-0.020429141,9.682996749,0.030749617,0.148818855,0.149822365,0.030956966,0.35053891,1.006743167,
Ivan Herrera SLN,R,0.012405672,-0.038461538,0.132957711,0.144618891,-0.085624209,0.000641667,9.682997021,0.029879771,0.147950536,0.148288169,0.029947959,0.34790313,1.002282065,
William Contreras MIL,R,-0.00557752,-0.012973438,0.130190437,0.143893604,0.051657007,0.003660517,9.683006431,0.029404578,0.147474047,0.147108876,0.029331768,0.345661958,0.997523831,
Elly De La Cruz CIN,B,0.047021494,0.010847983,0.129058342,0.143633572,0.048265097,0,9.683003413,0.029203362,0.147274438,0.148159147,0.029378793,0.34835213,1.006007214,
Christian Yelich MIL,L,0.021450372,-0.031268012,0.126570916,0.141215696,-0.104808925,0,9.683011021,0.029131063,0.147198936,0.146331178,0.028959331,0.344138228,0.994104865,
Spencer Horwitz PIT,L,-0.001467004,0.009118813,0.120979612,0.136650983,-0.085211726,0,9.683027149,0.028772779,0.146842173,0.146306179,0.028667755,0.344473022,0.996349869,
Max Muncy LAN,L,-0.001928705,-0.025996264,0.116827522,0.133219178,0.013589664,0,9.683011986,0.028502291,0.146571276,0.14999889,0.029168826,0.353477285,1.023385307,
Kevin McGonigle DET,L,0.01478033,0,0.13242636,0.151085871,0.04826635,0,9.683002083,0.028487031,0.146556511,0.149547622,0.02906843,0.352428953,1.020409268,
Mookie Betts LAN,R,0.005678617,-0.013551003,0.127166026,0.145550576,0.049998933,0,9.682998742,0.028395261,0.146465032,0.146100327,0.028324555,0.344407269,0.997509953,
Munetaka Murakami CHA,L,0.005192199,0,0.117778406,0.14025815,-0.0809544,0,9.682982857,0.027290981,0.145361966,0.147624277,0.027715718,0.349248153,1.015563289,
Brandon Nimmo TEX,L,0.008725441,0.002730834,0.122357683,0.147133501,-0.05666801,0,9.683020536,0.027027211,0.145097663,0.145329212,0.027070341,0.344116271,1.001595815,
Lars Nootbaar SLN,L,0.009620593,-0.012419178,0.117103818,0.141210199,-0.045672807,0,9.683009039,0.026953273,0.145023714,0.145201838,0.026986378,0.343898871,1.001228237,
Kerry Carpenter DET,L,0.002519306,-0.015004748,0.118280795,0.143840993,-0.089994936,0,9.683006605,0.02672468,0.144796105,0.141727322,0.026158282,0.335919427,0.978806173,
Isaac Paredes HOU,R,-0.002298357,-0.005594796,0.117888748,0.143552465,-0.045372946,0,9.68300858,0.026689201,0.144759938,0.143258498,0.026412383,0.339588893,0.98962807,
Cody Bellinger NYA,L,0.013276193,0.004173765,0.115811329,0.142994037,-0.038259157,0,9.682989504,0.026322418,0.144392146,0.144532767,0.026348053,0.343025742,1.000973883,
Wilyer Abreu BOS,L,0.007341317,0.010582524,0.110958084,0.13708982,-0.050900599,0,9.683019958,0.026305142,0.144375905,0.144856057,0.026392625,0.343811627,1.003325708,
Matt Wallner MIN,L,0.005430183,-0.013728382,0.106770099,0.1325811,-0.052941403,0,9.682991088,0.026173754,0.144243254,0.140341051,0.025465677,0.333243126,0.972947064,
Wyatt Langford TEX,R,0.022129004,0.000837189,0.115526258,0.144443234,-0.023913707,0,9.683019508,0.025993604,0.144061882,0.140365097,0.02532658,0.333499646,0.974338913,
George Springer TOR,R,0.01150934,-0.015861514,0.116812401,0.147396661,-0.100198728,0,9.682995064,0.02575604,0.143827195,0.141067526,0.025261849,0.335428103,0.980812606,
Joc Pederson TEX,L,-0.00112901,-0.007438017,0.110574143,0.139997246,-0.114992427,0,9.683003911,0.025670825,0.14373872,0.141026702,0.025186476,0.335431476,0.981132309,
Alejandro Kirk TOR,R,-0.018611292,-0.013049394,0.104446473,0.135962968,0.074977181,0.099039454,9.683005589,0.024967516,0.143037995,0.14245311,0.024865423,0.339614608,0.995910982,
Triston Casas BOS,L,-0.002884615,-0.002642276,0.103881766,0.135933048,-0.093333333,0,9.683007122,0.024838692,0.142901241,0.142136114,0.024705699,0.339020034,0.99464576,
Francisco Lindor NYN,B,0.022592038,0.011648785,0.114180223,0.150160531,0.046297089,0,9.682996831,0.024713145,0.142782168,0.141373781,0.024469377,0.337333432,0.99013611,
Michael Harris II ATL,L,0.022055327,0.030772748,0.099897119,0.13175583,0.016665524,0,9.682983673,0.024642921,0.142711249,0.145624513,0.025145974,0.347559028,1.020413698,
Jesse Winker NA,L,-0.006884211,-0.033115727,0.10348538,0.137777778,-0.090409357,0,9.683039583,0.024412268,0.142478472,0.142428826,0.024403762,0.340199417,0.999651552,
Bo Bichette NYN,R,0.002988114,0.030858949,0.108252143,0.14444661,0.004255651,0,9.683013066,0.024356213,0.142426085,0.139197538,0.023804101,0.332538113,0.977331773,
Oneil Cruz PIT,L,0.040579693,-0.002364009,0.109129865,0.146577788,0.014936317,0,9.683015346,0.02419686,0.14226476,0.141696078,0.024100136,0.338692693,0.99600265,
Jacob Wilson OAK,R,0.006678945,-0.001009981,0.099453422,0.135622624,0.04886288,0,9.683012394,0.023833851,0.141903959,0.137913365,0.0231636,0.330051783,0.971878207,
Brent Rooker OAK,R,0.003743059,-0.017746479,0.104050082,0.141992379,-0.108942842,0,9.683015746,0.023816332,0.14188623,0.138977785,0.023328135,0.332619145,0.979501575,
Kyle Manzardo CLE,L,0.002988816,0.002044764,0.101169816,0.139735184,-0.101171102,0,9.682992133,0.023531151,0.141602516,0.135417453,0.022503333,0.324409887,0.95632095,
Geraldo Perdomo ARI,B,0.0255258,-0.00427825,0.103919007,0.145242761,0.05,0,9.682988934,0.023253457,0.141323333,0.141712536,0.023317496,0.339814274,1.002753987,
Colt Keith DET,L,0.011540128,0.009452578,0.096492676,0.134877244,-0.045772643,0,9.68299116,0.023250984,0.141320447,0.139678345,0.022980815,0.334941326,0.988380295,
Alex Bregman CHN,R,-0.007082399,-0.004405466,0.10264124,0.145961656,0.016667347,0,9.683003453,0.022855036,0.14092463,0.139725934,0.022660633,0.33550771,0.991494063,
Jazz Chisholm Jr. NYA,L,0.033781634,-0.006801797,0.095031505,0.135533519,0.015116207,0,9.68300074,0.022787717,0.140857814,0.137841174,0.022299691,0.331056855,0.978583795,
