Full Name,Hand,WAR/GS,ERA,xWAR/GS,SIERA,ERA Change,bpWAR/GS,WAR/IP,Updated WAR/GS,Updated xWAR/GS,Updated WAR/IP,Updated ERA
Garrett Crochet BOS,L,0.177921876,2.7898,0.168276674,2.49,0.10239983,0.059044447,0.029522224,0.17139124,0.162100066,0.028438608,2.89219983
Tarik Skubal DET,L,0.177290618,2.7935,0.161880003,2.54,-0.037599816,0.056800001,0.028400001,0.179676906,0.164058868,0.028782258,2.755900184
Paul Skenes PIT,R,0.17397812,2.837,0.163590004,2.68,-0.003900068,0.057400001,0.028700001,0.174217291,0.163814894,0.028739455,2.833099932
Cole Ragans KCA,L,0.140006863,3.1049,0.135279997,2.98,0.117000104,0.047466666,0.023733333,0.134731067,0.130182321,0.022839004,3.221900104
Cristopher Sanchez PHI,L,0.152050003,3.1068,0.140030002,3.07,-0.07549981,0.049133334,0.024566667,0.155745042,0.143432937,0.025163673,3.03130019
Zack Wheeler PHI,R,0.1477392,3.1342,0.140979999,2.92,0.031900054,0.049466666,0.024733333,0.146235503,0.139545097,0.024481596,3.166100054
Chris Sale ATL,L,0.154012342,3.1553,0.143450003,2.83,-0.028699948,0.050333334,0.025166667,0.155413206,0.144754794,0.025395578,3.126600052
Mason Miller SDN,R,#DIV/0!,3.1804,0.137243335,2.95,-0.227000074,0.048155556,0.024077778,#DIV/0!,0.147039036,0.025796322,2.953399926
Shohei Ohtani LAN,R,0.120511467,3.2568,0.133253333,3.01,-0.09499992,0.046755556,0.023377778,0.124026752,0.137140295,0.024059701,3.16180008
Jhoan Duran PHI,R,#DIV/0!,3.3011,0.126856662,3.27,-0.005199953,0.04451111,0.022255555,#DIV/0!,0.127056489,0.022290612,3.295900047
Yoshinobu Yamamoto LAN,R,0.135706016,3.3104,0.129833332,3.22,0.042600139,0.045555555,0.022777778,0.133959672,0.128162562,0.02248466,3.353000139
Max Fried NYA,L,0.123635479,3.3562,0.11450667,3.45,-0.010800018,0.040177779,0.02008889,0.124033329,0.114875145,0.020153534,3.345399982
Shane McClanahan TBA,L,0.124493823,3.37,0.121283329,3.17,0.067400155,0.042555554,0.021277777,0.12200394,0.118857657,0.02085222,3.437400155
