tab,status,away_sp,home_sp,away_team,home_team,away_wpct,home_wpct,away_fair,home_fair,away_book,home_book,away_edge,home_edge,away_ev,home_ev,away_team_wins,home_team_wins,away_bullpen_war,home_bullpen_war,away_off,home_off,away_total_era,home_total_era,away_pitcher_era,home_pitcher_era,totals_book_line,away_rs_162,away_ra_162,home_rs_162,home_ra_162,park_factor,away_pa_runs,home_pa_runs,away_rg_per_game,home_rg_per_game,predicted_total,total_under_odds,total_over_odds,league_avg_off,league_avg_era
DET@CHW,ok,Framber Valdez DET,Anthony Kay CHA,DET,CHA,0.5439201923835942,0.45607980761640576,-119.25987147430746,119.25987147430746,,,,,,,74.39137531098059,63.560337868406265,0.0,0.0,4.6036142994740015,4.003562690663159,3.3801,4.1369,3.3801,4.1369,,380.8136794473014,325.6568287769784,331.17705783987475,398.57096978417263,0.96,2.2671253946115875,1.6253119450270002,2.2529431826103794,1.6080456683689477,3.829540362320066,,,4.856832043536459,4.17
SD@WAS,ok,Michael King SDN,Foster Griffin WAS,SDN,WAS,0.4917381531542053,0.5082618468457947,103.36026268972618,-103.36026268972618,,,,,,,75.83729743441216,72.80347617902561,0.0,0.0,5.072630264755648,4.8775032423903335,3.8898,3.9686,3.8898,3.9686,,419.6109556393661,374.76404028776983,403.46993371339346,382.3560517985611,1.02,2.9131575478830793,2.436215914639335,2.713775534548903,2.4029420864027164,4.884061779380823,,,4.856832043536459,4.17
KC@TEX,ok,Seth Lugo KCA,Kumar Rocker TEX,KCA,TEX,0.4854290253684929,0.5145709746315071,106.00333884874154,-106.00333884874156,,,,,,,71.07423633197521,69.2524729811357,0.0,0.0,5.025947872760394,4.363529011979469,4.3492,4.1813,4.3492,4.1813,,415.7493607479034,419.02508201438854,360.9536834171382,402.8487021582734,0.85,2.3718608616178067,2.163147458142003,2.279586529471401,2.069213836192819,4.16259241156863,,,4.856832043536459,4.17
MIN@PIT,ok,Bailey Ober MIN,Mitch Keller PIT,MIN,PIT,0.44760026643601064,0.5523997335639893,123.4136292997406,-123.41362929974056,,,,,,,66.45841047768025,70.59538153946124,0.0,0.0,4.761967161332869,4.8369811552653985,4.3643,4.2622,4.3643,4.2622,,393.9127212115899,420.47989640287767,400.1179228599444,410.6430388489209,1.0,2.514235338115868,2.9027535545450647,2.499778947700234,2.7438499474309648,5.070268897601466,,,4.856832043536459,4.17
TOR@BAL,ok,Trey Yesavage TOR,Brandon Young BAL,TOR,BAL,0.5098765904126048,0.49012340958739514,-104.03024634996288,104.0302463499629,,,,,,,73.85651323257687,68.18085920730768,0.0,0.0,5.033307782080316,5.105724337972249,3.8303,4.5514,3.8303,4.5514,,416.3581767707483,369.0314935251798,422.3485168184059,438.5061064748201,1.08,3.384033812380218,2.952828883881134,3.2068151521968105,2.76955714695219,5.615881902036649,,,4.856832043536459,4.17
MIA@NYM,ok,Tyler Phillips MIA,Christian Scott NYN,MIA,NYN,0.4073621147919881,0.5926378852080119,145.48183635354295,-145.48183635354292,,,,,,,64.16055466051895,74.61744930794234,0.0,0.0,4.752504976015629,5.146811646940319,4.7301,4.1807,4.7301,4.1807,,393.1300036831727,455.72301582733814,425.74728315478353,402.7908949640287,0.98,2.2699097612334036,3.194635490765794,2.327102965312112,3.0580385610040537,5.305737800633134,,,4.856832043536459,4.17
BOS@CLE,ok,Sonny Gray BOS,Parker Messick CLE,BOS,CLE,0.5143675255766119,0.4856324744233881,-105.91703657943019,105.91703657943019,,,,,,,73.28679049802425,66.96853847115976,0.0,0.0,4.480001518080728,4.301712118987207,3.5686,4.1014,3.5686,4.1014,,370.5883575487085,343.8179223021583,355.8401537117776,395.15071079136686,0.96,2.070053200193948,1.6802897464860505,2.1150025053463013,1.7424283247295511,3.9645187134717075,,,4.856832043536459,4.17
MIL@HOU,ok,Brandon Sproat MIL,Peter Lambert HOU,MIL,HOU,0.5309014618163497,0.46909853818365027,-113.1748275899559,113.17482758995592,,,,,,,70.99792871662413,62.36373573495852,0.0,0.0,5.120810379361342,4.814715302052358,4.3228,4.9577,4.3228,4.9577,,423.59644302506734,416.4815654676259,398.2760784011111,477.65121151079137,1.02,3.52941167370531,2.554357518211915,3.3501525663557814,2.576954633477993,5.770445207750323,,,4.856832043536459,4.17
LAA@TB,ok,Reid Detmers LAA,Drew Rasmussen TBA,LAA,TBA,0.44343384799636676,0.5565661520036332,125.51278043353007,-125.51278043353007,,,,,,,67.94777939083325,72.67857775885447,0.0,0.0,4.577471293261116,4.651802007843805,3.9423,3.7749,3.9423,3.7749,,378.6511146145177,379.8221697841727,384.799794993631,363.6939625899281,0.9,1.8055075404485381,2.2128534734215406,1.8549054439242045,2.1169491399904077,3.925348153959146,,,4.856832043536459,4.17
CHC@STL,ok,Ben Brown CHN,Kyle Leahy SLN,CHN,SLN,0.5249640149089432,0.47503598509105677,-110.51036792682474,110.51036792682474,,,,,,,76.04556370799185,67.95168905374922,0.0,0.0,5.196573939982977,4.930660158411741,4.0306,4.5459,4.0306,4.5459,,429.86364927031025,388.3294618705035,407.8671050360423,437.97620719424464,0.96,3.000400829500563,2.3057684584557516,2.8886840550152453,2.3209802615989723,5.113159345272121,,,4.856832043536459,4.17
ATL@CIN,ok,Martin Perez ATL,Brady Singer CIN,ATL,CIN,0.4549546729479573,0.5450453270520427,119.80211644389264,-119.80211644389263,,,,,,,65.98090001452053,69.00666230145859,0.0,0.0,4.948129076201589,4.737491378115084,4.6227,4.1969,4.6227,4.1969,,409.31214417849924,445.37552805755394,391.888070044444,404.35168920863305,1.06,2.9069036825690797,2.8691989244434253,2.8011978416523258,2.855888978962482,5.53807103421711,,,4.856832043536459,4.17
SF@COL,ok,Adrian Houser SFN,Tanner Gordon COL,SFN,COL,0.5112376292847242,0.4887623707152759,-104.59840198756649,104.59840198756645,,,,,,,67.5009709793284,62.01664323672177,0.0,0.0,4.801820068680182,4.4722506832854645,4.4921,4.7132,4.4921,4.7132,,397.20937712069514,432.7928287769784,369.9472039408769,454.09477985611517,1.25,3.580966867181192,2.829467097319908,3.5225489258683114,2.9522441279953866,6.539152143226296,,,4.856832043536459,4.17
NYY@OAK,ok,Ryan Weathers NYA,J.T. Ginn OAK,NYA,OAK,0.5173037435315678,0.48269625646843217,-107.16961994201813,107.16961994201813,,,,,,,76.9053032219188,69.91900318635095,0.0,0.0,5.334110606656041,4.9411359734375315,3.96,4.0921,3.96,4.0921,,441.24076313944374,381.52748201438845,408.733670609452,394.2546992805756,1.19,3.635573892575826,2.6967119558587904,3.408118813344691,2.7739684874624957,6.031888753179757,,,4.856832043536459,4.17
ARI@SEA,ok,Ryne Nelson ARI,Bryan Woo SEA,ARI,SEA,0.45521396511947976,0.5447860348805201,119.67691604925402,-119.67691604925396,,,,,,,72.1922409024593,74.93614099621871,0.0,0.0,5.101877286855256,5.056436204862838,4.298,3.8436,4.298,3.8436,,422.0302864898896,414.0922014388489,418.27137349112337,370.3128863309352,0.85,2.227551579728429,2.438563813790582,2.1342914275612115,2.3502814100891216,4.3030302817816555,,,4.856832043536459,4.17
PHI@LAD,ok,Andrew Painter PHI,Roki Sasaki LAN,PHI,LAN,0.4230983399340998,0.5769016600659002,136.35167184909218,-136.35167184909213,,,,,,,69.76508427485362,77.59416550073622,0.0,0.0,5.25045193714036,5.629304791297121,4.6505,4.1597,4.6505,4.1597,,434.32046884815776,448.053928057554,465.6593995177041,400.76764316546763,1.04,3.1459859679976643,3.918577876676929,2.9636645714980103,3.626230199370651,6.115225697062729,,,4.856832043536459,4.17
