date,tab,away_ml,home_ml,total,over_juice,under_juice,ml_source,total_source,last_update,event_id
2026-05-31,TOR@BAL,106,-138,4.5,-105,-116,median/8 books,median/8 books,,7ce8052d582c63369d747ada9789999a
2026-05-31,MIN@PIT,122,-159,4.0,-114,-110,median/8 books,median/8 books,,c9a00e16ad4a9457d7ddfb97d41e2ac1
2026-05-31,SD@WAS,-129,-104,5.0,-114,-108,median/8 books,median/8 books,,a8456ab9e0bb66a215e97973838e0a7e
2026-05-31,ATL@CIN,-131,100,4.5,100,-124,median/8 books,median/8 books,,f37f3b31cc1e8798404f149f5cca8494
2026-05-31,BOS@CLE,-124,-106,4.0,-106,-115,median/8 books,median/8 books,,b3fe86e4b6f4605995c54e4c12a958e5
2026-05-31,LAA@TB,146,-197,4.5,100,-124,median/8 books,median/8 books,,d4be852be249fd2a6f5d1de94a10880c
2026-05-31,MIA@NYM,135,-170,4.0,-122,-2,median/5 books,median/5 books,,2777b2345a6c8d7177d741ef3e01b6c6
2026-05-31,DET@CHW,110,-143,4.0,-122,-2,median/8 books,median/8 books,,4672651bc699e5e7d171bfaacb7324e8
2026-05-31,MIL@HOU,-190,144,4.0,-108,-116,median/8 books,median/8 books,,5c3f6ef1c09e80c734a171c46737c476
2026-05-31,KC@TEX,-116,-112,4.0,-112,-112,median/8 books,median/8 books,,43d9adc1df4b9b52dda09d965481edc2
2026-05-31,SF@COL,-127,-4,5.5,-112,-113,median/8 books,median/8 books,,ef470d863beab92055c4bbad98ea07f8
2026-05-31,NYY@OAK,-160,123,5.5,-106,-118,median/6 books,median/6 books,,93bdd51f4e57b795632604aa754b99ab
2026-05-31,ARI@SEA,118,-152,4.25,-8,-12,median/8 books,median/8 books,,69bd19e894cc705c6657f68926527301
2026-05-31,PHI@LAD,179,-240,5.0,-107,-118,median/8 books,median/8 books,,e1bd8f83dee29f4b09de44161ad6a9da
2026-05-31,CHC@STL,-114,-115,5.0,-105,-125,median/7 books,median/7 books,,cda7a740583616fc1219815601f132ab
